iter	Recall_SumError	Recall_SumWeight
0	1836.31525	2325.999317
1	1787.346844	2325.999317
2	1787.346844	2325.999317
3	1811.831047	2325.999317
4	1787.346844	2325.999317
5	1787.346844	2325.999317
6	1787.346844	2325.999317
7	1787.346844	2325.999317
8	1787.346844	2325.999317
9	1762.86264	2325.999317
10	1762.86264	2325.999317
11	1762.86264	2325.999317
12	1762.86264	2325.999317
13	1762.86264	2325.999317
14	1762.86264	2325.999317
15	1762.86264	2325.999317
16	1762.86264	2325.999317
17	1762.86264	2325.999317
18	1762.86264	2325.999317
19	1762.86264	2325.999317
20	1762.86264	2325.999317
21	1762.86264	2325.999317
22	1762.86264	2325.999317
23	1762.86264	2325.999317
24	1762.86264	2325.999317
25	1762.86264	2325.999317
26	1762.86264	2325.999317
27	1762.86264	2325.999317
28	1762.86264	2325.999317
29	1762.86264	2325.999317
30	1762.86264	2325.999317
31	1762.86264	2325.999317
32	1762.86264	2325.999317
33	1762.86264	2325.999317
34	1762.86264	2325.999317
35	1762.86264	2325.999317
36	1762.86264	2325.999317
37	1762.86264	2325.999317
38	1762.86264	2325.999317
39	1762.86264	2325.999317
40	1762.86264	2325.999317
41	1762.86264	2325.999317
42	1762.86264	2325.999317
43	1762.86264	2325.999317
44	1762.86264	2325.999317
45	1762.86264	2325.999317
46	1762.86264	2325.999317
47	1762.86264	2325.999317
48	1762.86264	2325.999317
49	1762.86264	2325.999317
50	1762.86264	2325.999317
51	1762.86264	2325.999317
52	1762.86264	2325.999317
53	1762.86264	2325.999317
54	1762.86264	2325.999317
55	1762.86264	2325.999317
56	1762.86264	2325.999317
57	1762.86264	2325.999317
58	1762.86264	2325.999317
59	1762.86264	2325.999317
60	1762.86264	2325.999317
61	1762.86264	2325.999317
62	1762.86264	2325.999317
63	1762.86264	2325.999317
64	1762.86264	2325.999317
65	1762.86264	2325.999317
66	1762.86264	2325.999317
67	1762.86264	2325.999317
68	1762.86264	2325.999317
69	1762.86264	2325.999317
70	1762.86264	2325.999317
